hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Extraocular Procedures Except Orbit,Carefirst Blue Choice,Carefirst Blue Choice Open Access,21162.03,7314.89,56425.64
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Extraocular Procedures Except Orbit,Cigna,Cigna Regional Network/Oap/Pos/Localplus,16728.7,7314.89,56425.64
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Extraocular Procedures Except Orbit,Cigna Med Adv,Cigna Medicare Advantage Hmo,49995.37,7314.89,56425.64
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Extraocular Procedures Except Orbit,Medicaid Maryland,Medicaid (X02) Emergency Medical Only,12810.38,7314.89,56425.64
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Extraocular Procedures Except Orbit,Priority Partners,Priority Partners Mco New 9/2022,42655.51,7314.89,56425.64
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Aetna,Aetna Select Open Access,18043.08,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Aetna Med Adv,Aetna Medicare Ppo,48759.17,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Aetna Med Adv,Aetna Medicare Hmo,126209.88,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,29155.51,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,40254.63,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Carefirst Blue Choice,Carefirst Blue Choice Advantage,92463.48,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,14565.48,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Humana Medicare Advantage,Humana Choice Ppo Med Adv,19471,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Medicaid Maryland,Maryland Medical Assistance,38992.95,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,73120.11,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,United Healthcare,United Healthcare Choice/Choice Plus/At,71691.94,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,United Healthcare Mco,Uhc Community Plan Mco Md,13695.73,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,United Healthcare Med Adv,United Healthcare Medicare Complete,10901.8,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Intraocular Procedures With Cc/Mcc,United Healthcare Med Adv,United Community Medicare Dual Snp,2870.16,2870.16,126209.88
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Aetna,Aetna Choice Pos I And Ii,11950.47,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Carefirst Blue Choice,Carefirst Blue Choice Advantage,10497.1,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Carefirst Blue Choice,Carefirst Blue Choice Open Access,15755.68,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Hmo Ppo Other,Hopkins Elderplus Hep New 12/2022,19529.65,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Medicaid Maryland,Maryland Medical Assistance,16042.46,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Medicaid Maryland,Medicaid (X02) Emergency Medical Only,14128.47,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,19137.32,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,United Healthcare,United Healthcare Choice/Choice Plus/At,14246.43,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,United Healthcare,United Healthcare Other,12769.96,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,United Healthcare,United Healthcare Balance,4822.14,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,United Healthcare Mco,Uhc Community Plan Mco Md,11258.78,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections With Cc/Mcc,United Healthcare Med Adv,United Healthcare Medicare Complete,11693.81,4822.14,19529.65
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,14117.91,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,10105.27,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,Cigna,Cigna Regional Network/Oap/Pos/Localplus,16391.76,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,4069.68,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,United Healthcare,United Mdipa/Optimum Choice Hmo,25829.18,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Acute Major Eye Infections Without Cc/Mcc,United Healthcare Mco,Uhc Community Plan Mco Md,7465.87,4069.68,25829.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Aetna,Aetna Choice Pos I And Ii,18586.58,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Aetna,Aetna Innovation Health,23028.58,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Aetna,Aetna Select Open Access,17932.87,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Aetna Med Adv,Aetna Medicare Ppo,33887.53,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Aetna Med Adv,Aetna Medicare Hmo,9485.49,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,31001,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,73720.72,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Blue Cr/Sh Med Adv,Blue Cr/Sh Med Adv Oos,22723.2,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,12597.18,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,24516.02,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Admin,Carefirst Administrators Jhu Only,6572.94,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,17754.18,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Blue Choice,Carefirst Blue Choice Advantage,26469.44,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Blue Choice,Carefirst Blue Choice Open Access,14558.51,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Blue Choice,Carefirst Blue Choice Hmo,23403.16,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Carefirst Preferred,Carefirst Blue Cr/Sh,61766.86,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Cigna,Cigna Regional Network/Oap/Pos/Localplus,72029.71,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Ehp,Ehp Employee Health Plan New 12/2022,14588.09,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Medicaid Maryland,Maryland Medical Assistance,39553.72,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Medicaid Maryland,Medicaid (X02) Emergency Medical Only,10556.33,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,Priority Partners,Priority Partners Mco New 9/2022,22437.24,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare,United Healthcare Choice/Choice Plus/Sl,19027.73,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare,United Mdipa/Optimum Choice Hmo,23803.97,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare,United Healthcare Choice/Choice Plus/At,57327.16,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare,United Healthcare Other,23174.94,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare,Optimum Choice Mdonex,23491.35,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Neurological Eye Disorders,United Healthcare Mco,Uhc Community Plan Mco Md,8695.3,6572.94,73720.72
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Aetna,Aetna Choice Pos I And Ii,18966.85,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Aetna Med Adv,Aetna Medicare Hmo,17639.16,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Medicaid Maryland,Maryland Medical Assistance,30931.54,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Medicaid Maryland,Medicaid (X02) Emergency Medical Only,18053.91,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Medstar Family Choice Maryland Mco,Medstar Family Choice,29787.89,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,Priority Partners,Priority Partners Mco New 9/2022,82260.2,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,United Healthcare,United Healthcare Choice/Choice Plus/At,14701.9,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye With Mcc Or Thrombolytic Agent,United Healthcare Mco,Uhc Community Plan Mco Md,6041.58,6041.58,82260.2
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna,Aetna Choice Pos I And Ii,20874.71,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna,Aetna Meritain Health,10517.51,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna,Aetna Health Network Only,9403.48,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna Better Health Mco,Aetna Better Health Of Maryland,2603.34,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna Med Adv,Aetna Medicare Ppo,18649.48,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Aetna Med Adv,Aetna Medicare Hmo,11333.41,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,10892.29,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,22693.97,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Focus Ppo,11011.54,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,23593.95,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,9200.19,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Admin,Carefirst Administrators Jhu Only,21805.12,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Admin,Carefirst Administrators,9678.62,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,29345.3,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Blue Choice,Carefirst Blue Choice Open Access,8748.01,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,21547.59,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Carefirst Preferred,Carefirst Blue Cr/Sh Pos,11128.56,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Cigna,Cigna Regional Network/Oap/Pos/Localplus,11010.82,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Cigna Med Adv,Cigna Medicare Advantage Hmo,11607.23,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Ehp,Ehp Employee Health Plan New 12/2022,21560.02,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Humana Medicare Advantage,Humana Gold Plus Hmo Med Adv,17758.9,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Intl Commercial,Intl Single Case Agreement,2305.73,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Medicaid Maryland,Medicaid (X02) Emergency Medical Only,10594.9,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Medstar Family Choice Maryland Mco,Medstar Family Choice,10767.41,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,Priority Partners,Priority Partners Mco New 9/2022,5981.23,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare,United Healthcare Choice/Choice Plus/At,7169.9,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare,United Medical Resource (Umr),5361.99,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare,Optimum Choice Mdonex,28051.53,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare Mco,Uhc Community Plan Mco Md,1205.57,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,17321.66,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Other Disorders Of The Eye Without Mcc,United Healthcare Med Adv,United Community Medicare Dual Snp,15239.93,1205.57,29345.3
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Sinus And Mastoid Procedures With Cc/Mcc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,107167.51,12059.51,107167.51
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Sinus And Mastoid Procedures With Cc/Mcc,Cigna,Cigna Regional Network/Oap/Pos/Localplus,12059.51,12059.51,107167.51
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Sinus And Mastoid Procedures With Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,47195.94,12059.51,107167.51
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Sinus And Mastoid Procedures Without Cc/Mcc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,31792.93,31792.93,31792.93
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Mouth Procedures With Cc/Mcc,Humana Medicare Advantage,Humana Choice Ppo Med Adv,9372.31,9372.31,50000.28
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Mouth Procedures With Cc/Mcc,Medicaid Maryland,Maryland Medical Assistance,50000.28,9372.31,50000.28
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Mouth Procedures With Cc/Mcc,Medstar Family Choice Maryland Mco,Medstar Family Choice,32567.01,9372.31,50000.28
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Mouth Procedures With Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,37782.12,9372.31,50000.28
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Mouth Procedures Without Cc/Mcc,Priority Partners,Priority Partners Mco New 9/2022,5676.77,5676.77,5676.77
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Aetna,Aetna Choice Pos I And Ii,20656.64,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Aetna Med Adv,Aetna Medicare Ppo,161324.92,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Carefirst Blue Choice,Carefirst Blue Choice Open Access,104889.32,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Ehp,Ehp Employee Health Plan New 12/2022,62045.54,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Hmo Ppo Other,Multiplan,112227.47,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Hmo Ppo Other,Geisinger Choice Ppo,145924.81,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,Priority Partners,Priority Partners Mco New 9/2022,92756.31,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Mcc,United Healthcare,United Healthcare Choice/Choice Plus/At,85841.16,20656.64,161324.92
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Aetna,Aetna Choice Pos I And Ii,48609.16,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Aetna,Aetna Open Choice Ppo/Other,84057.05,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,34975.95,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,25176.16,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,33108.26,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Hmo Pos,52957.29,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Carefirst Blue Choice,Carefirst Blue Choice Advantage,55046.4,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Carefirst Blue Choice,Carefirst Blue Choice Open Access,39049.57,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Carefirst Preferred,Carefirst Blue Cr/Sh,32086.87,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Cigna,Cigna Other,60258.5,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Cigna,Cigna Regional Network/Oap/Pos/Localplus,41839.9,13776.5,93490.18
The Johns Hopkins Hospital,7/1/2025,"600 North  Wolfe Street, Baltimore, MD 21287",Major Head And Neck Procedures With Cc,Ehp,Ehp Employee Health Plan New 12/2022,42477.6,13776.5,93490.18
