hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Complicated Peptic Ulcer Without Cc/Mcc,Aetna,Commercial,6292,6292,6292
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Uncomplicated Peptic Ulcer With Mcc,Emblem,Medicaid,15174.54,4305.59,15174.54
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inflammatory Bowel Disease With Mcc,Metroplus,Medicaid,7942.53,7942.53,7942.53
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Gastrointestinal Obstruction With Mcc,Vns,Medicare Advantage,14280.43,14280.43,14280.43
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders With Mcc",Aetna,Commercial,11351.09,6727.01,29657
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Esophagitis, Gastroenteritis And Miscellaneous Digestive Disorders Without Mcc",Aetna,Commercial,26394.52,1960,26394.52
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Digestive System Diagnoses With Cc,Humana,Medicare Advantage,6777.89,6777.89,36098.86
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Digestive System Diagnoses Without Cc/Mcc,1199 Seiu,Commercial,13262.1,13262.1,17848
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Hepatobiliary Diagnostic Procedures With Mcc,Emblem,Medicaid,7652.81,7652.81,63071.8
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Hepatobiliary Or Pancreas O.R. Procedures With Cc,Fidelis,Medicaid,15285.57,4313.03,15285.57
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Hepatobiliary Or Pancreas O.R. Procedures Without Cc/Mcc,Healthfirst,Medicaid,3904.27,3904.27,3904.27
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cirrhosis And Alcoholic Hepatitis With Mcc,Aetna,Commercial,36596.68,36596.68,55542.22
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cirrhosis And Alcoholic Hepatitis With Cc,United Healthcare,Medicare Advantage,10532.49,10532.49,10532.49
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Malignancy Of Hepatobiliary System Or Pancreas With Cc,Fidelis,Medicare Advantage,15732.88,15732.88,15732.88
